UF;Município;Cargo;Candidato;Nr;Partido;Situação;VotaçãoNominal
MG;CAMPANHA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6045,00 
MG;CAMPANHA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2747,00 
MG;CAMPESTRE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3961,00 
MG;CAMPESTRE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;8258,00 
MG;CAMPINA VERDE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6147,00 
MG;CAMPINA VERDE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5034,00 
MG;CAMPO AZUL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1775,00 
MG;CAMPO AZUL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;372,00 
MG;CAMPO BELO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;17646,00 
MG;CAMPO BELO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;11136,00 
MG;CAMPO DO MEIO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4215,00 
